item_name,item_description,item_price(in AED)
Gino's Meal for One,"Choice of Panuozzo, Fries, and Soft Drink - AED 49",49.0
Gino's Meal for 2,"Choice of any 2 Panuozzo, 2 Fries, and 2 Soft Drink - AED 109",109.0
Family Meal (Serves 4),"Any 4 Panuozzo or Pasta, 4 Appetisers, 4 Soft Drink - AED 199",199.0
Appetizer Share Box,Choice of any 3 appetizers - perfect for sharing!,64.0
Any 3 Panuozzo,"Choice of any 3 of our famous, authentic, fresh baked panuozzo!",99.0
Ginos Chicken Strips,"Juicy, tender, succulent chicken strips. Served with a choice of house made dips",32.0
Sweet Potato Fries,"Sweet and crispy fries, served with a choice of house-made dips",24.0
Ginos Potato Wedges,"Crispy fried potato wedges, lightly seasoned. Served with a choice of house-made dips",24.0
Mozzarella Balls,"Mini breaded mozzarella bites, served with a choice of house-made dip",29.0
Garlic Bread & Mozzarella,Oven baked ciabatta with homemade roast garlic oil and fresh fior di latte mozzarella,23.0
Gino's Chicken Wings (6),"Premium, thick, juicy wings smothered in your choice of Smoky BBQ sauce or tangy Buffalo. Served with a Blue cheese dip (6 wings)",32.0
Arancini,"Italian rice balls stuffed with tomato and mozzarella, and shallow fried. Served with a choice of house-made dip",29.0
Quinoa Greco Salad,"White quinoa, authentic Greek feta, Kalamata olives, pine nuts, cherry tomato, fresh rocket, Italian lime dressing",43.0
Italian Chicken Pasta Salad,"Served cold Pasta salad with fusili, roast chicken, sweetcorn, kalamata olives, sundried tomato, fresh rocket, grated parmesan and pesto dressing",43.0
Ginos Chicken Caesar Salad,"Fresh Romaine lettuce with a creamy Caesar dressing, crispy garlic croutons, powdered parmesan cheese and grilled chicken breast",43.0
Tomato & Mozzarella (Sandwich),"Freshly baked panuozzo with sliced tomato, fresh thick cut buffalo mozzarella, homemade pesto, fresh basil",44.0
Salami Melt (Sandwich),"Freshly baked panuozzo with Italian tomato sauce, fresh ricotta, fior di latte mozzarella, fresh rocket, Italian salami, oregano",42.0
